CIA -- The World Factbook -- Merchant marine

| Country | Merchant marine |
| --- | --- |
| **Albania** | *total:*  9 ships (1,000 GRT or over) totaling 17,797 GRT/26,324 DWT |
| | *ships by type:*  cargo 9 (2000 est.) |
| **Algeria** | *total:*  73 ships (1,000 GRT or over) totaling 896,911 GRT/1,047,991 DWT |
| | *ships by type:*  bulk 9, cargo 25, chemical tanker 7, liquefied gas 10, petroleum tanker 4, roll on/roll off 13, short-sea passenger 4, specialized tanker 1 (2000 est.) |
| **American Samoa** | none (2000 est.) |
| **Angola** | *total:*  9 ships (1,000 GRT or over) totaling 39,305 GRT/63,067 DWT |
| | *ships by type:*  cargo 8, petroleum tanker 1 (2000 est.) |
| **Anguilla** | none (2000 est.) |
| **Antigua and Barbuda** | *total:*  681 ships (1,000 GRT or over) totaling 4,070,390 GRT/5,289,904 DWT |
| | *ships by type:*  bulk 15, cargo 424, chemical tanker 10, combination bulk 4, container 176, liquefied gas 4, multi-functional large-load carrier 6, petroleum tanker 2, refrigerated cargo 11, roll on/roll off 29 |
| | *note:*  includes some foreign-owned ships registered here as a flag of convenience: Cyprus 2, Germany 4, Slovenia 2 (2000 est.) |
| **Argentina** | *total:*  26 ships (1,000 GRT or over) totaling 185,355 GRT/281,475 DWT |
| | *ships by type:*  cargo 9, petroleum tanker 11, railcar carrier 1, refrigerated cargo 2, roll on/roll off 1, short-sea passenger 2 (2000 est.) |
| **Aruba** | *total:*  1 ship (1,000 GRT or over) totaling 3,120 GRT/3,635 DWT |
| | *ships by type:*  cargo 1 (2000 est.) |
| **Australia** | *total:*  54 ships (1,000 GRT or over) totaling 1,558,371 GRT/2,038,776 DWT |
| | *ships by type:*  bulk 26, cargo 3, chemical tanker 5, container 1, liquefied gas 4, passenger 2, petroleum tanker 7, roll on/roll off 6 (2000 est.) |
| **Austria** | *total:*  23 ships (1,000 GRT or over) totaling 86,905 GRT/117,417 DWT |
| | *ships by type:*  bulk 1, cargo 18, combination bulk 2, container 2 (2000 est.) |
| **Azerbaijan** | *total:*  56 ships (1,000 GRT or over) totaling 253,882 GRT/313,252 DWT |
| | *ships by type:*  bulk 1, cargo 12, petroleum tanker 40, roll on/roll off 2, short-sea passenger 1 (2000 est.) |
| **Bahamas, The** | *total:*  1,049 ships (1,000 GRT or over) totaling 30,000,221 GRT/44,601,471 DWT |
| | *ships by type:*  bulk 185, cargo 214, chemical tanker 36, combination bulk 15, combination ore/oil 22, container 66, liquefied gas 33, livestock carrier 1, multi-functional large-load carrier 4, passenger 79, passenger/cargo 1, petroleum tanker 182, railcar carrier 1, refrigerated cargo 118, roll on/roll off 50, short-sea passenger 15, specialized tanker 3, vehicle carrier 24 |
| | *note:*  includes some foreign-owned ships registered here as a flag of convenience: Algeria 2, Australia 1, Austria 1, Bermuda 6, Belgium 14, Canada 1, Cuba 1, Cyprus 2, Denmark 17, Finland 7, France 9, Germany 9, Greece 89, Hong Kong 7, Indonesia 2, India 1, Israel 4, Italy 8, Japan 23, Jamaica 1, Kenya 1, Lebanon 2, Luxembourg 2, Monaco 15, Malaysia 1, Netherlands 16, Norway 139, Poland 3, Portugal 2, Russia 2, Saudi Arabia 5, Singapore 12, Spain 7, Sweden 14, Syria 1, Switzerland 7, UAE 1, Trinidad and Tobago 2, UK 67, Ukraine 3, US 50, British Virgin Islands 1, British Virgin Islands 1 (2000 est.) |
| **Bahrain** | *total:*  7 ships (1,000 GRT or over) totaling 175,609 GRT/207,652 DWT |
| | *ships by type:*  bulk 2, cargo 3, container 2 (2000 est.) |
| **Bangladesh** | *total:*  35 ships (1,000 GRT or over) totaling 268,566 GRT/375,110 DWT |
| | *ships by type:*  bulk 2, cargo 25, container 3, petroleum tanker 2, refrigerated cargo 1, roll on/roll off 2 (2000 est.) |
| **Barbados** | *total:*  47 ships (1,000 GRT or over) totaling 671,545 GRT/1,125,635 DWT |
| | *ships by type:*  bulk 10, cargo 28, combination bulk 1, container 2, petroleum tanker 4, refrigerated cargo 1, roll on/roll off 1 |
| | *note:*  includes some foreign-owned ships registered here as a flag of convenience: Canada 2, Hong Kong 1 (2000 est.) |
| **Belgium** | *total:*  21 ships (1,000 GRT or over) totaling 32,912 GRT/53,161 DWT |
| | *ships by type:*  cargo 6, chemical tanker 9, petroleum tanker 6 (2000 est.) |
| **Belize** | *total:*  402 ships (1,000 GRT or over) totaling 1,575,851 GRT/2,241,731 DWT |
| | *ships by type:*  bulk 27, cargo 265, chemical tanker 6, combination ore/oil 1, container 14, passenger 1, passenger/cargo 2, petroleum tanker 56, refrigerated cargo 18, roll on/roll off 7, short-sea passenger 1, specialized tanker 1, vehicle carrier 3 |
| | *note:*  includes some foreign-owned ships registered here as a flag of convenience: Cuba 1, Singapore 1, US 1 (2000 est.) |
| **Benin** | none (2000 est.) |
| **Bermuda** | *total:*  105 ships (1,000 GRT or over) totaling 5,836,538 GRT/9,728,045 DWT |
| | *ships by type:*  bulk 27, cargo 4, container 15, liquefied gas 7, passenger 2, petroleum tanker 23, refrigerated cargo 16, roll on/roll off 8, short-sea passenger 3 |
| | *note:*  includes some foreign-owned ships registered here as a flag of convenience: Canada 10, Hong Kong 10, Japan 1, Nigeria 4, Saudi Arabia 1, Sweden 3, Switzerland 2, UK 10, US 7 (2000 est.) |
| **Bolivia** | *total:*  42 ships (1,000 GRT or over) totaling 141,017 GRT/211,058 DWT |
| | *ships by type:*  bulk 5, cargo 20, chemical tanker 3, container 1, petroleum tanker 10, roll on/roll off 3 (2000 est.) |
| **Bosnia and Herzegovina** | none (2000 est.) |
| **Brazil** | *total:*  171 ships (1,000 GRT or over) totaling 3,788,999 GRT/6,067,314 DWT |
| | *ships by type:*  bulk 33, cargo 26, chemical tanker 5, combination ore/oil 9, container 12, liquefied gas 11, multi-functional large-load carrier 1, passenger/cargo 5, petroleum tanker 56, roll on/roll off 12, short-sea passenger 1 (2000 est.) |
| **British Virgin Islands** | *total:*  1 ship (1,000 GRT or over) totaling 70,285 GRT/6,946 DWT |
| | *ships by type:*  passenger 1 (2000 est.) |
| **Brunei** | *total:*  7 ships (1,000 GRT or over) totaling 348,476 GRT/340,635 DWT |
| | *ships by type:*  liquefied gas 7 (2000 est.) |
| **Bulgaria** | *total:*  81 ships (1,000 GRT or over) totaling 938,706 GRT/1,440,374 DWT |
| | *ships by type:*  bulk 44, cargo 16, chemical tanker 4, container 2, passenger/cargo 1, petroleum tanker 6, railcar carrier 2, refrigerated cargo 1, roll on/roll off 3, short-sea passenger 1, specialized tanker 1 (2000 est.) |
| **Burma** | *total:*  37 ships (1,000 GRT or over) totaling 411,181 GRT/632,769 DWT |
| | *ships by type:*  bulk 11, cargo 20, container 1, passenger/cargo 3, petroleum tanker 2 |
| | *note:*  includes some foreign-owned ships registered here as a flag of convenience: Japan 2 (2000 est.) |
| **Cambodia** | *total:*  295 ships (1,000 GRT or over) totaling 1,305,932 GRT/1,853,487 DWT |
| | *ships by type:*  bulk 22, cargo 237, chemical tanker 1, combination bulk 3, container 8, liquefied gas 1, livestock carrier 2, multi-functional large-load carrier 1, passenger/cargo 1, petroleum tanker 7, refrigerated cargo 6, roll on/roll off 5, short-sea passenger 1 |
| | *note:*  includes some foreign-owned ships registered here as a flag of convenience: Cyprus 3, South Korea 1, Malta 1, Panama 1, Russia 1, Singapore 1 (2000 est.) |
| **Canada** | *total:*  121 ships (1,000 GRT or over) totaling 1,767,259 GRT/2,633,290 DWT |
| | *ships by type:*  barge carrier 1, bulk 67, cargo 13, chemical tanker 5, combination bulk 1, passenger 3, passenger/cargo 1, petroleum tanker 17, railcar carrier 2, roll on/roll off 7, short-sea passenger 3, specialized tanker 1 (2000 est.) |
| **Cape Verde** | *total:*  5 ships (1,000 GRT or over) totaling 9,523 GRT/11,798 DWT |
| | *ships by type:*  cargo 4, chemical tanker 1 (2000 est.) |
| **Cayman Islands** | *total:*  106 ships (1,000 GRT or over) totaling 1,656,452 GRT/2,643,036 DWT |
| | *ships by type:*  bulk 21, cargo 5, chemical tanker 27, container 4, liquefied gas 1, petroleum tanker 13, refrigerated cargo 30, roll on/roll off 4, specialized tanker 1 |
| | *note:*  includes some foreign-owned ships registered here as a flag of convenience: Cyprus 2, Denmark 2, Finland 1, Greece 11, Norway 3, UK 3, US 3 (2000 est.) |
| **Chile** | *total:*  44 ships (1,000 GRT or over) totaling 606,506 GRT/884,023 DWT |
| | *ships by type:*  bulk 11, cargo 7, chemical tanker 8, container 4, liquefied gas 2, passenger 3, petroleum tanker 4, roll on/roll off 3, vehicle carrier 2 (2000 est.) |
| **China** | *total:*  1,745 ships (1,000 GRT or over) totaling 16,533,521 GRT/24,746,859 DWT |
| | *ships by type:*  barge carrier 2, bulk 324, cargo 825, chemical tanker 21, combination bulk 11, combination ore/oil 1, container 132, liquefied gas 24, multi-functional large-load carrier 5, passenger 7, passenger/cargo 45, petroleum tanker 258, refrigerated cargo 22, roll on/roll off 23, short-sea passenger 41, specialized tanker 3, vehicle carrier 1 (2000 est.) |
| **Christmas Island** | none (2000 est.) |
| **Cocos (Keeling) Islands** | none (2000 est.) |
| **Colombia** | *total:*  13 ships (1,000 GRT or over) totaling 53,322 GRT/69,444 DWT |
| | *ships by type:*  bulk 5, cargo 4, container 1, multi-functional large-load carrier 1, petroleum tanker 2 (2000 est.) |
| **Comoros** | *total:*  2 ships (1,000 GRT or over) totaling 19,122 GRT/29,817 DWT |
| | *ships by type:*  cargo 2 (2000 est.) |
| **Congo, Democratic Republic of the** | none (2000 est.) |
| **Cook Islands** | *total:*  1 ship (1,000 GRT or over) totaling 2,310 GRT/2,181 DWT |
| | *ships by type:*  cargo 1 (2000 est.) |
| **Costa Rica** | *total:*  1 ship (1,000 GRT or over) totaling 1,716 GRT/NA DWT |
| | *ships by type:*  passenger 1 (2000 est.) |
| **Cote d'Ivoire** | *total:*  1 ship (1,000 GRT or over) totaling 1,200 GRT/1,500 DWT |
| | *ships by type:*  petroleum tanker 1 (2000 est.) |
| **Croatia** | *total:*  53 ships (1,000 GRT or over) totaling 631,853 GRT/969,739 DWT |
| | *ships by type:*  bulk 11, cargo 18, chemical tanker 1, combination bulk 5, container 3, multi-functional large-load carrier 3, passenger 1, petroleum tanker 2, refrigerated cargo 2, roll on/roll off 4, short-sea passenger 3 (2000 est.) |
| **Cuba** | *total:*  15 ships (1,000 GRT or over) totaling 54,821 GRT/78,062 DWT |
| | *ships by type:*  bulk 1, cargo 7, liquefied gas 1, petroleum tanker 1, refrigerated cargo 5 (2000 est.) |
| **Cyprus** | *total:*  1,328 ships (1,000 GRT or over) totaling 22,905,542 GRT/36,312,219 DWT |
| | *ships by type:*  barge carrier 2, bulk 431, cargo 438, chemical tanker 23, combination bulk 36, combination ore/oil 4, container 140, liquefied gas 6, passenger 8, passenger/cargo 1, petroleum tanker 143, refrigerated cargo 40, roll on/roll off 42, short-sea passenger 9, specialized tanker 2, vehicle carrier 3 |
| | *note:*  includes some foreign-owned ships registered here as a flag of convenience: Austria 8, Belgium 7, China 10, Cuba 10, Denmark 2, Germany 79, Greece 385, Hong Kong 9, Croatia 2, India 5, Iran 1, Israel 4, Italy 2, Japan 19, South Korea 3, Latvia 10, Lithuania 1, Monaco 1, Netherlands 13, Norway 11, Poland 9, Portugal 3, Russia 42, Singapore 1, Spain 5, Sudan 2, Sweden 3, Switzerland 2, UAE 6, UK 8, Ukraine 2, US 9, Venezuela 2 (2000 est.) |
| **Denmark** | *total:*  342 ships (1,000 GRT or over) totaling 6,073,489 GRT/8,027,002 DWT |
| | *ships by type:*  bulk 10, cargo 128, chemical tanker 27, container 76, liquefied gas 26, livestock carrier 6, petroleum tanker 22, railcar carrier 1, refrigerated cargo 13, roll on/roll off 23, short-sea passenger 7, specialized tanker 3 |
| | *note:*  includes some foreign-owned ships registered here as a flag of convenience: Finland 1 (2000 est.) |
| **Djibouti** | *total:*  1 ship (1,000 GRT or over) totaling 1,369 GRT/3,030 DWT |
| | *ships by type:*  cargo 1 (2000 est.) |
| **Dominica** | none (2000 est.) |
| **Dominican Republic** | *total:*  1 ship (1,000 GRT or over) totaling 1,587 GRT/1,165 DWT |
| | *ships by type:*  cargo 1 (2000 est.) |
| **Ecuador** | *total:*  30 ships (1,000 GRT or over) totaling 233,312 GRT/385,784 DWT |
| | *ships by type:*  cargo 2, chemical tanker 1, liquefied gas 1, passenger 3, petroleum tanker 22, specialized tanker 1 (2000 est.) |
| **Egypt** | *total:*  181 ships (1,000 GRT or over) totaling 1,336,678 GRT/1,982,220 DWT |
| | *ships by type:*  bulk 23, cargo 61, container 2, liquefied gas 1, passenger 61, petroleum tanker 15, roll on/roll off 15, short-sea passenger 3 (2000 est.) |
| **El Salvador** | none (2000 est.) |
| **Equatorial Guinea** | *total:*  12 ships (1,000 GRT or over) totaling 26,035 GRT/27,927 DWT |
| | *ships by type:*  bulk 1, cargo 7, combination bulk 1, passenger 2, passenger/cargo 1 (2000 est.) |
| **Eritrea** | *total:*  5 ships (1,000 GRT or over) totaling 16,069 GRT/19,549 DWT |
| | *ships by type:*  bulk 1, cargo 1, liquefied gas 1, petroleum tanker 1, roll on/roll off 1 (2000 est.) |
