CIA - The World Factbook 2002 -- Field Listing - Merchant marine

| Country | Merchant marine |
| --- | --- |
| **Albania** | *total:* 7 ships (1,000 GRT or over) totaling 13,423 GRT/20,837 DWT |
| | *ships by type:* cargo 7, includes some foreign-owned ships registered here as a flag of convenience: Croatia 1, Honduras 1 (2002 est.) |
| **Algeria** | *total:* 73 ships (1,000 GRT or over) totaling 903,944 GRT/1,051,433 DWT |
| | *ships by type:* bulk 9, cargo 25, chemical tanker 7, liquefied gas 10, petroleum tanker 5, roll on/roll off 12, short-sea passenger 4, specialized tanker 1, includes some foreign-owned ships registered here as a flag of convenience: United Arab Emirates 2 (2002 est.) |
| **American Samoa** | none (2002 est.) |
| **Angola** | *total:* 9 ships (1,000 GRT or over) totaling 39,305 GRT/63,528 DWT |
| | *ships by type:* cargo 8, petroleum tanker 1 (2002 est.) |
| **Anguilla** | none (2002 est.) |
| **Antigua and Barbuda** | *total:* 762 ships (1,000 GRT or over) totaling 4,541,940 GRT/5,894,553 DWT |
| | *ships by type:* bulk 20, cargo 469, chemical tanker 9, combination bulk 4, container 202, liquefied gas 7, multi-functional large-load carrier 6, petroleum tanker 1, refrigerated cargo 9, roll on/roll off 35 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Australia 1, Bangladesh 2, Belgium 3, Colombia 1, Cuba 1, Estonia 1, Germany 747, Greece 1, Iceland 8, Latvia 1, Lebanon 2, Lithuania 1, Netherlands 22, New Zealand 2, Portugal 1, Slovenia 6, South Africa 1, Sweden 2, United Kingdom 1, United States 7 (2002 est.) |
| **Argentina** | *total:* 24 ships (1,000 GRT or over) totaling 147,505 GRT/222,500 DWT |
| | *ships by type:* cargo 9, petroleum tanker 10, railcar carrier 1, refrigerated cargo 2, roll on/roll off 1, short-sea passenger 1, includes some foreign-owned ships registered here as a flag of convenience: United Arab Emirates 1, Uruguay 1 (2002 est.) |
| **Aruba** | *note:* there is one foreign-owned ship registered here as a flag of convenience: Monaco 1 (2002 est.) |
| **Australia** | *total:* 55 ships (1,000 GRT or over) totaling 1,469,362 GRT/1,869,262 DWT |
| | *ships by type:* bulk 26, cargo 5, chemical tanker 4, container 1, liquefied gas 4, passenger 2, petroleum tanker 7, roll on/roll off 6, includes some foreign-owned ships registered here as a flag of convenience: France 2, United Kingdom 2, United States 14 (2002 est.) |
| **Austria** | *total:* 10 ships (1,000 GRT or over) totaling 46,563 GRT/59,278 DWT |
| | *ships by type:* bulk 1, cargo 6, combination bulk 1, container 2 (2002 est.) |
| **Azerbaijan** | *total:* 54 ships (1,000 GRT or over) totaling 246,051 GRT/306,756 DWT |
| | *ships by type:* cargo 12, petroleum tanker 40, roll on/roll off 2 (2002 est.) |
| **Bahamas, The** | *total:* 1,076 ships (1,000 GRT or over) totaling 31,309,187 GRT/45,859,485 DWT |
| | *ships by type:* bulk 159, cargo 246, chemical tanker 41, combination bulk 13, combination ore/oil 22, container 80, liquefied gas 28, livestock carrier 2, multi-functional large-load carrier 8, passenger 88, passenger/cargo 1, petroleum tanker 178, railcar carrier 1, refrigerated cargo 120, roll on/roll off 49, short-sea passenger 16, specialized tanker 2, vehicle carrier 22 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Angola 1, Argentina 1, Australia 4, Belgium 18, Bermuda 1, Canada 5, Chile 1, China 3, Croatia 2, Cuba 3, Cyprus 2, Denmark 27, Ecuador 1, Estonia 2, Finland 9, France 15, Germany 26, Greece 173, Hong Kong 6, India 2, Indonesia 2, Ireland 1, Israel 3, Italy 9, Jamaica 1, Japan 32, Kenya 3, Malaysia 10, Malta 2, Monaco 67, Netherlands 32, New Zealand 2, Norway 237, Panama 2, Philippines 3, Poland 13, Reunion 1, Russia 6, Saudi Arabia 9, Singapore 13, Slovenia 1, South Korea 2, Spain 7, Sweden 12, Switzerland 8, Thailand 1, Trinidad and Tobago 2, Turkey 2, Ukraine 2, United Arab Emirates 10, United Kingdom 107, United States 159, Uruguay 1 (2002 est.) |
| **Bahrain** | *total:* 8 ships (1,000 GRT or over) totaling 270,784 GRT/384,561 DWT |
| | *ships by type:* bulk 2, cargo 4, container 2, includes a foreign-owned ship registered here as a flag of convenience: Kuwait 1 (2002 est.) |
| **Bangladesh** | *total:* 34 ships (1,000 GRT or over) totaling 269,932 GRT/379,271 DWT |
| | *ships by type:* bulk 2, cargo 26, container 3, petroleum tanker 2, refrigerated cargo 1, includes s foreign-owned ship registered here as a flag of convenience: Singapore 5 (2002 est.) |
| **Barbados** | *total:* 41 ships (1,000 GRT or over) totaling 629,987 GRT/1,073,991 DWT |
| | *ships by type:* bulk 9, cargo 26, combination bulk 1, container 1, petroleum tanker 4 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Australia 1, Bahamas, The 1, Canada 4, Germany 1, Greece 2, Hong Kong 7, Norway 7, United Kingdom 18 (2002 est.) |
| **Belgium** | *total:* 20 ships (1,000 GRT or over) totaling 31,362 GRT/54,058 DWT |
| | *ships by type:* cargo 6, chemical tanker 9, petroleum tanker 5, includes some foreign-owned ships registered here as a flag of convenience: Finland 1, Netherlands 3 (2002 est.) |
| **Belize** | *total:* 315 ships (1,000 GRT or over) totaling 1,240,551 GRT/1,761,168 DWT |
| | *ships by type:* bulk 26, cargo 204, chemical tanker 6, combination ore/oil 1, container 12, passenger/cargo 1, petroleum tanker 39, refrigerated cargo 15, roll on/roll off 8, short-sea passenger 1, specialized tanker 1, vehicle carrier 1 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Albania 2, Belgium 3, British Virgin Islands 6, Cambodia 1, China 38, Cyprus 1, Ecuador 1, Egypt 1, Equatorial Guinea 1, Eritrea 1, Estonia 7, Germany 3, Greece 4, Grenada 1, Honduras 1, Hong Kong 20, Indonesia 6, Italy 2, Japan 4, Jordan 1, Lebanon 1, Liberia 5, Malaysia 3, Malta 2, Man, Isle of 1, Marshall Islands 13, Mexico 1, Netherlands 1, Nigeria 1, Panama 12, Philippines 4, Portugal 1, Romania 1, Russia 3, Saint Vincent and the Grenadines 3, Saudi Arabia 1, Singapore 22, South Korea 10, Spain 4, Switzerland 1, Taiwan 1, Thailand 6, Tunisia 1, Turkey 1, Ukraine 3, United Arab Emirates 9, United Kingdom 2, United States 4, Virgin Islands (UK) 6, Yemen 1 (2002 est.) |
| **Benin** | none (2002 est.) |
| **Bermuda** | *total:* 102 ships (1,000 GRT or over) totaling 5,485,450 GRT/8,782,869 DWT |
| | *ships by type:* bulk 28, cargo 4, container 16, liquefied gas 6, passenger 3, petroleum tanker 17, refrigerated cargo 16, roll on/roll off 9, short-sea passenger 3 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Croatia 5, Denmark 2, Germany 1, Greece 1, Hong Kong 9, Indonesia 1, Norway 2, Sweden 11, United Kingdom 52, United States 13 (2002 est.) |
| **Bolivia** | *total:* 36 ships (1,000 GRT or over) totaling 196,399 GRT/320,137 DWT |
| | *ships by type:* bulk 3, cargo 15, chemical tanker 2, container 1, petroleum tanker 13, roll on/roll off 2 |
| | *note:* includes some foreign-owned ships registered here as a flag of Belize 2, China 2, Cuba 1, Cyprus 1, Egypt 1, Honduras 1, Latvia 2, Liberia 2, Panama 1, Saint Vincent and the Grenadines 1, Saudi Arabia 1, Singapore 1, South Korea 3, Switzerland 1, Ukraine 1, United Arab Emirates 5, United States 1 (2002 est.) |
| **Bosnia and Herzegovina** | none (2002 est.) |
| **Brazil** | *total:* 165 ships (1,000 GRT or over) totaling 3,662,570 GRT/5,875,933 DWT |
| | *ships by type:* bulk 32, cargo 25, chemical tanker 5, combination ore/oil 9, container 12, liquefied gas 11, multi-functional large-load carrier 1, passenger/cargo 5, petroleum tanker 54, roll on/roll off 10, short-sea passenger 1 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Chile 2, Germany 6, Greece 1, Monaco 1 (2002 est.) |
| **British Virgin Islands** | *total:* 1 ship (1,000 GRT or over) totaling 70,285 GRT/6,946 DWT |
| | *ships by type:* passenger 1 (2002 est.) |
| **Brunei** | *total:* 7 ships (1,000 GRT or over) totaling 348,476 GRT/340,635 DWT |
| | *ships by type:* liquefied gas 7 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: United Kingdom 7 (2002 est.) |
| **Bulgaria** | *total:* 77 ships (1,000 GRT or over) totaling 881,758 GRT/1,312,833 DWT |
| | *ships by type:* bulk 43, cargo 15, chemical tanker 4, container 2, passenger/cargo 1, petroleum tanker 4, railcar carrier 2, refrigerated cargo 1, roll on/roll off 3, short-sea passenger 1, specialized tanker 1 (2002 est.) |
| **Burma** | *total:* 35 ships (1,000 GRT or over) totaling 382,386 GRT/582,084 DWT |
| | *ships by type:* bulk 9, cargo 21, container 1, passenger/cargo 3, petroleum tanker 1 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Germany 5, Japan 4 (2002 est.) |
| **Cambodia** | *total:* 404 ships (1,000 GRT or over) totaling 1,889,404 GRT/2,740,232 DWT |
| | *ships by type:* bulk 37, cargo 312, chemical tanker 2, combination bulk 5, container 7, liquefied gas 1, livestock carrier 2, multi-functional large-load carrier 1, passenger/cargo 1, petroleum tanker 15, refrigerated cargo 10, roll on/roll off 9, short-sea passenger 2 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Aruba 1, Belize 8, British Virgin Islands 1, Bulgaria 3, China 21, Cyprus 15, Denmark 1, Egypt 7, Estonia 1, Georgia 1, Germany 1, Greece 12, Honduras 5, Hong Kong 12, Iceland 1, Indonesia 2, Iran 1, Ireland 1, Italy 1, Japan 5, Jordan 1, Latvia 2, Lebanon 5, Liberia 5, Lithuania 1, Malta 1, Netherlands 1, Norway 2, Panama 7, Romania 4, Russia 67, Saint Kitts and Nevis 10, Saint Vincent and the Grenadines 4, Singapore 15, South Korea 24, Syria 13, Thailand 1, Turkey 22, Ukraine 13, United Arab Emirates 2, United Kingdom 1, United States 5, Vietnam 2, Virgin Islands (UK) 1 (2002 est.) |
| **Canada** | *total:* 122 ships (1,000 GRT or over) totaling 1,797,240 GRT/2,680,223 DWT |
| | *ships by type:* barge carrier 1, bulk 66, cargo 13, chemical tanker 5, combination bulk 2, passenger 2, passenger/cargo 1, petroleum tanker 18, railcar carrier 2, roll on/roll off 8, short-sea passenger 3, specialized tanker 1 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Germany 3, Monaco 16, United Kingdom 1, United States 1 (2002 est.) |
| **Cape Verde** | *total:* 4 ships (1,000 GRT or over) totaling 5,395 GRT/6,614 DWT |
| | *ships by type:* cargo 3, chemical tanker 1 |
| | *note:* includes a foreign-owned ship registered here as a flag of convenience: United Kingdom 1 (2002 est.) |
| **Cayman Islands** | *total:* 121 ships (1,000 GRT or over) totaling 2,034,181 GRT/3,191,597 DWT |
| | *ships by type:* bulk 24, cargo 4, chemical tanker 34, container 1, liquefied gas 1, petroleum tanker 14, refrigerated cargo 40, roll on/roll off 2, specialized tanker 1 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Bahrain 2, China 1, Germany 4, Greece 27, Hong Kong 3, Italy 2, Japan 1, Norway 14, Sweden 13, United Kingdom 15, United States 35 (2002 est.) |
| **Chile** | *total:* 47 ships (1,000 GRT or over) totaling 669,670 GRT/931,647 DWT |
| | *ships by type:* bulk 11, cargo 4, chemical tanker 10, container 5, liquefied gas 2, passenger 3, petroleum tanker 4, roll on/roll off 5, vehicle carrier 3, includes a foreign-owned ship registered here as a flag of convenience: Netherlands 1 (2002 est.) |
| **China** | *total:* 1,764 ships (1,000 GRT or over) totaling 16,915,047 GRT/25,366,296 DWT |
| | *ships by type:* barge carrier 2, bulk 328, cargo 822, chemical tanker 25, combination bulk 10, combination ore/oil 1, container 134, liquefied gas 26, multi-functional large-load carrier 6, passenger 7, passenger/cargo 45, petroleum tanker 263, refrigerated cargo 26, roll on/roll off 23, short-sea passenger 42, specialized tanker 3, vehicle carrier 1 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Croatia 1, Germany 1, Hong Kong 16, Japan 2, Panama 2, South Korea 1, Spain 1, Taiwan 9, Tanzania 1, Turkey 1 (2002 est.) |
| **Christmas Island** | none (2002 est.) |
| **Cocos (Keeling) Islands** | none (2002 est.) |
| **Colombia** | *total:* 11 ships (1,000 GRT or over) totaling 32,438 GRT/43,126 DWT |
| | *ships by type:* bulk 5, cargo 3, container 1, petroleum tanker 2 |
| | *note:* includes a foreign-owned ship registered here as a flag of convenience: Germany 1 (2002 est.) |
| **Comoros** | *total:* 6 ships (1,000 GRT or over) totaling 139,779 GRT/205,369 DWT |
| | *ships by type:* cargo 6 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Malta 1, Pakistan 1, Turkey 1 (2002 est.) |
| **Congo, Democratic Republic of the** | none (2002 est.) |
| **Costa Rica** | *total:* 1 ship (1,000 GRT or over) totaling 1,716 GRT/NA DWT |
| | *ships by type:* passenger 1 (2002 est.) |
| **Croatia** | *total:* 49 ships (1,000 GRT or over) totaling 681,465 GRT/1,076,315 DWT |
| | *ships by type:* bulk 14, cargo 13, chemical tanker 1, combination bulk 5, container 1, multi-functional large-load carrier 3, passenger 1, petroleum tanker 2, refrigerated cargo 2, roll on/roll off 4, short-sea passenger 3 |
| | *note:* includes a foreign-owned ship registered here as a flag of convenience: Hong Kong 1 (2002 est.) |
| **Cuba** | *total:* 14 ships (1,000 GRT or over) totaling 44,187 GRT/63,416 DWT |
| | *ships by type:* bulk 3, cargo 6, liquefied gas 1, petroleum tanker 1, refrigerated cargo 3 (2002 est.) |
| **Cyprus** | *total:* 1,254 ships (1,000 GRT or over) totaling 22,802,712 GRT/36,337,768 DWT |
| | *ships by type:* barge carrier 2, bulk 438, cargo 378, chemical tanker 24, combination bulk 31, combination ore/oil 2, container 133, liquefied gas 4, passenger 7, passenger/cargo 1, petroleum tanker 131, refrigerated cargo 46, roll on/roll off 41, short-sea passenger 10, specialized tanker 3, vehicle carrier 3 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Austria 12, Belgium 2, Bulgaria 2, Canada 3, Chile 2, China 16, Croatia 2, Cuba 11, Finland 1, Germany 229, Greece 607, Guam 1, Hong Kong 6, India 6, Iran 1, Ireland 1, Israel 5, Italy 1, Japan 26, Latvia 14, Lebanon 1, Lithuania 2, Mexico 1, Monaco 10, Netherlands 30, Norway 23, Panama 1, Philippines 2, Poland 19, Portugal 2, Russia 57, Singapore 2, Slovenia 2, South Korea 4, Spain 7, Sudan 2, Sweden 6, Switzerland 4, Turkey 1, Ukraine 1, United Arab Emirates 13, United Kingdom 6, United States 4, Vietnam 1 (2002 est.) |
| **Denmark** | *total:* 301 ships (1,000 GRT or over) totaling 6,258,959 GRT/8,143,520 DWT |
