CIA - The World Factbook --  Natural gas - imports   

This entry is the total natural gas imported in cubic meters (cu m).

| Rank | country | (cu m) | Date of Information |
| 121 | Qatar | 0 | 2010 est. |
| 122 | Philippines | 0 | 2010 est. |
| 123 | Rwanda | 0 | 2010 est. |
| 124 | Saudi Arabia | 0 | 2011 est. |
| 125 | Saint Pierre and Miquelon | 0 | 2010 est. |
| 126 | Saint Kitts and Nevis | 0 | 2010 est. |
| 127 | Seychelles | 0 | 2010 est. |
| 128 | Senegal | 0 | 2010 est. |
| 129 | Saint Helena, Ascension, and Tristan da Cunha | 0 | 2010 est. |
| 130 | Sierra Leone | 0 | 2010 est. |
| 131 | Somalia | 0 | 2010 est. |
| 132 | Saint Lucia | 0 | 2010 est. |
| 133 | Sudan | 0 | 2010 est. |
| 134 | Trinidad and Tobago | 0 | 2010 est. |
| 135 | Turks and Caicos Islands | 0 | 2010 est. |
| 136 | Tonga | 0 | 2010 est. |
| 137 | Togo | 0 | 2010 est. |
| 138 | Sao Tome and Principe | 0 | 2010 est. |
| 139 | Timor-Leste | 0 | 2010 est. |
| 140 | Turkmenistan | 0 | 2011 est. |
| 141 | Tanzania | 0 | 2010 est. |
| 142 | Uganda | 0 | 2010 est. |
| 143 | Burkina Faso | 0 | 2010 est. |
| 144 | Uzbekistan | 0 | 2010 est. |
| 145 | Saint Vincent and the Grenadines | 0 | 2010 est. |
| 146 | British Virgin Islands | 0 | 2010 est. |
| 147 | Virgin Islands | 0 | 2010 est. |
| 148 | Namibia | 0 | 2010 est. |
| 149 | Antigua and Barbuda | 0 | 2010 est. |
| 150 | Afghanistan | 0 | 2010 est. |
| 151 | Algeria | 0 | 2010 est. |
| 152 | Azerbaijan | 0 | 2010 est. |
| 153 | Albania | 0 | 2010 est. |
| 154 | Angola | 0 | 2010 est. |
| 155 | American Samoa | 0 | 2010 est. |
| 156 | Bahrain | 0 | 2010 est. |
| 157 | Barbados | 0 | 2010 est. |
| 158 | Botswana | 0 | 2010 est. |
| 159 | Bermuda | 0 | 2010 est. |
| 160 | Bahamas, The | 0 | 2010 est. |
| 161 | Bangladesh | 0 | 2010 est. |
| 162 | Belize | 0 | 2010 est. |
| 163 | Bolivia | 0 | 2010 est. |
| 164 | Burma | 0 | 2010 est. |
| 165 | Benin | 0 | 2010 est. |
| 166 | Solomon Islands | 0 | 2010 est. |
| 167 | Bhutan | 0 | 2010 est. |
| 168 | Brunei | 0 | 2010 est. |
| 169 | Burundi | 0 | 2010 est. |
| 170 | Cambodia | 0 | 2010 est. |
| 171 | Curacao | 0 | 2009 est. |
| 172 | Chad | 0 | 2010 est. |
| 173 | Sri Lanka | 0 | 2012 est. |
| 174 | Congo, Republic of the | 0 | 2010 est. |
| 175 | Congo, Democratic Republic of the | 0 | 2010 est. |
| 176 | Cayman Islands | 0 | 2010 est. |
| 177 | Cameroon | 0 | 2010 est. |
| 178 | Comoros | 0 | 2010 est. |
| 179 | Colombia | 0 | 2010 est. |
| 180 | Costa Rica | 0 | 2010 est. |
| 181 | Central African Republic | 0 | 2010 est. |
| 182 | Cuba | 0 | 2010 est. |
| 183 | Cape Verde | 0 | 2010 est. |
| 184 | Cook Islands | 0 | 2010 est. |
| 185 | Cyprus | 0 | 2010 est. |
| 186 | Djibouti | 0 | 2010 est. |
| 187 | Dominica | 0 | 2010 est. |
| 188 | Ecuador | 0 | 2010 est. |
| 189 | Egypt | 0 | 2010 est. |
| 190 | Equatorial Guinea | 0 | 2010 est. |
| 191 | Eritrea | 0 | 2010 est. |
| 192 | El Salvador | 0 | 2010 est. |
| 193 | Ethiopia | 0 | 2010 est. |
| 194 | Fiji | 0 | 2010 est. |
| 195 | Falkland Islands (Islas Malvinas) | 0 | 2010 est. |
| 196 | Faroe Islands | 0 | 2010 est. |
| 197 | French Polynesia | 0 | 2010 est. |
| 198 | Gambia, The | 0 | 2010 est. |
| 199 | Gabon | 0 | 2010 est. |
| 200 | Gibraltar | 0 | 2010 est. |
| 201 | Grenada | 0 | 2010 est. |
| 202 | Greenland | 0 | 2010 est. |
| 203 | Guam | 0 | 2010 est. |
| 204 | Guatemala | 0 | 2010 est. |
| 205 | Guinea | 0 | 2010 est. |
| 206 | Guyana | 0 | 2010 est. |
| 207 | Haiti | 0 | 2010 est. |
| 208 | Honduras | 0 | 2010 est. |
| 209 | Iceland | 0 | 2010 est. |
| 210 | Indonesia | 0 | 2010 est. |
| 211 | Cote d'Ivoire | 0 | 2010 est. |
| 212 | Iraq | 0 | 2010 est. |
