CIA - The World Factbook --  Natural gas - imports   

This entry is the total natural gas imported in cubic meters (cu m).

| Rank | country | (cu m) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 106,100,000,000 | 2009 est. |
| 2 | Germany | 94,570,000,000 | 2009 est. |
| 3 | Japan | 90,290,000,000 | 2009 est. |
| 4 | Italy | 69,240,000,000 | 2009 est. |
| 5 | France | 45,850,000,000 | 2009 est. |
| 6 | United Kingdom | 41,060,000,000 | 2009 est. |
| 7 | Turkey | 35,770,000,000 | 2009 est. |
| 8 | Russia | 35,100,000,000 | 2009 |
| 9 | Spain | 34,670,000,000 | 2009 est. |
| 10 | Korea, South | 32,690,000,000 | 2009 est. |
| 11 | Ukraine | 26,830,000,000 | 2009 est. |
| 12 | Netherlands | 24,600,000,000 | 2009 est. |
| 13 | Belarus | 17,600,000,000 | 2009 est. |
| 14 | Belgium | 16,780,000,000 | 2009 est. |
| 15 | United Arab Emirates | 16,750,000,000 | 2008 est. |
| 16 | Canada | 16,590,000,000 | 2009 est. |
| 17 | India | 12,620,000,000 | 2009 est. |
| 18 | Taiwan | 12,080,000,000 | 2008 est. |
| 19 | Mexico | 11,840,000,000 | 2009 est. |
| 20 | Austria | 10,960,000,000 | 2009 |
| 21 | Poland | 9,954,000,000 | 2009 est. |
| 22 | Hungary | 9,708,000,000 | 2009 est. |
| 23 | Czech Republic | 9,683,000,000 | 2009 est. |
| 24 | Thailand | 8,550,000,000 | 2008 est. |
| 25 | Brazil | 8,440,000,000 | 2009 est. |
| 26 | Singapore | 8,270,000,000 | 2008 est. |
| 27 | China | 7,462,000,000 | 2009 |
| 28 | Slovakia | 6,974,000,000 | 2009 est. |
| 29 | Australia | 6,560,000,000 | 2009 est. |
| 30 | Romania | 5,500,000,000 | 2008 est. |
| 31 | Iran | 5,200,000,000 | 2008 est. |
| 32 | Portugal | 4,895,000,000 | 2009 est. |
| 33 | Ireland | 4,723,000,000 | 2009 est. |
| 34 | Finland | 4,289,000,000 | 2009 |
| 35 | Kazakhstan | 3,720,000,000 | 2009 est. |
| 36 | Greece | 3,556,000,000 | 2009 est. |
| 37 | Lithuania | 3,530,000,000 | 2008 est. |
| 38 | Bulgaria | 3,480,000,000 | 2008 |
| 39 | Switzerland | 3,282,000,000 | 2009 est. |
| 40 | South Africa | 3,200,000,000 | 2008 est. |
| 41 | Hong Kong | 2,830,000,000 | 2009 est. |
| 42 | Jordan | 2,720,000,000 | 2008 est. |
| 43 | Argentina | 2,660,000,000 | 2009 est. |
| 44 | Moldova | 2,520,000,000 | 2008 est. |
| 45 | Serbia | 2,400,000,000 | 2008 est. |
| 46 | Latvia | 2,050,000,000 | 2008 est. |
| 47 | Armenia | 1,930,000,000 | 2008 est. |
| 48 | Venezuela | 1,800,000,000 | 2009 est. |
