CIA -- The World Factbook -- Military branches

| Country | Military branches |
| --- | --- |
| **Afghanistan** | NA; note - the military does not exist on a national basis; some elements of the former Army, Air and Air Defense Forces, National Guard, Border Guard Forces, National Police Force (Sarandoi), and tribal militias still exist but are factionalized among the various groups |
| **Albania** | Army, Navy, Air and Air Defense Forces, Interior Ministry Troops, Border Guards |
| **Algeria** | National Popular Army, Navy, Air Force, Territorial Air Defense, National Gendarmerie |
| **Angola** | Army, Navy, Air and Air Defense Forces, National Police Force |
| **Antigua and Barbuda** | Royal Antigua and Barbuda Defense Force, Royal Antigua and Barbuda Police Force (includes Coast Guard) |
| **Argentina** | Argentine Army, Navy of the Argentine Republic (includes Naval Aviation, Marines, and Coast Guard), Argentine Air Force, National Gendarmerie, National Aeronautical Police Force |
| **Armenia** | Army, Air Force and Air Defense Aviation, Air Defense Force, Security Forces (internal and border troops) |
| **Aruba** | Royal Dutch Navy and Marines, Coast Guard |
| **Australia** | Australian Army, Royal Australian Navy, Royal Australian Air Force |
| **Austria** | Army (includes Flying Division) |
| **Azerbaijan** | Army, Navy, Air and Air Defense Forces, Border Guards |
| **Bahamas, The** | Royal Bahamas Defense Force (Coast Guard only), Royal Bahamas Police Force |
| **Bahrain** | Ground Force, Navy, Air Force, Coast Guard, Police Force |
| **Bangladesh** | Army, Navy, Coast Guard, Air Force, paramilitary forces (includes Bangladesh Rifles, Bangladesh Ansars, Village Defense Parties, National Cadet Corps), Armed Police battalions |
| **Barbados** | Royal Barbados Defense Force (includes Ground Forces and Coast Guard), Royal Barbados Police Force |
| **Belarus** | Army, Air Force, Air Defense Force, Interior Ministry Troops, Border Guards |
| **Belgium** | Army, Navy, Air Force, National Gendarmerie, Medical Service |
| **Belize** | Belize Defense Force (includes Army, Maritime Wing, Air Wing, and Volunteer Guard) |
| **Benin** | Armed Forces (includes Army, Navy, Air Force), National Gendarmerie |
| **Bermuda** | Bermuda Regiment, Bermuda Police Force, Bermuda Reserve Constabulary |
| **Bhutan** | Royal Bhutan Army, National Militia, Royal Bhutan Police, Royal Body Guards, Forest Guards (paramilitary) |
| **Bolivia** | Army (Ejercito Boliviano), Navy (Fuerza Naval Boliviana, includes Marines), Air Force (Fuerza Aerea Boliviana), National Police Force (Policia Nacional de Bolivia) |
| **Bosnia and Herzegovina** | Federation Army or VF (composed of both Croatian and Bosniak elements), Republika Srpska Army or VRS (composed of Bosnian Serb elements); note - within both of these forces air and air defense are subordinate commands |
| **Botswana** | Botswana Defense Force (includes Army and Air Wing), Botswana National Police |
| **Brazil** | Brazilian Army, Brazilian Navy (includes naval air and marines), Brazilian Air Force, Federal Police (paramilitary) |
| **Brunei** | Land Forces, Navy, Air Force, Royal Brunei Police |
| **Bulgaria** | Army, Navy, Air and Air Defense Forces, Civil Defense Forces, Internal Troops |
| **Burkina Faso** | Army, Air Force, National Gendarmerie, National Police, People's Militia |
| **Burma** | Army, Navy, Air Force |
| **Burundi** | Army (includes naval and air units), paramilitary Gendarmerie |
| **Cambodia** | Royal Cambodian Armed Forces (RCAF), including Army, Navy, and Air Force - created in 1993 by the merger of the Cambodian People's Armed Forces and the two noncommunist resistance armies |
| | *note:*  Khmer Rouge and royalist insurgent forces were integrated into the RCAF in 1999 |
| **Cameroon** | Army, Navy (includes Naval Infantry), Air Force, National Gendarmerie, Presidential Guard |
| **Canada** | Canadian Forces (includes Land Forces Command or LC, Maritime Command or MC, Air Command or AC, Communications Command or CC, Training Command or TC), Royal Canadian Mounted Police (RCMP) |
| **Cape Verde** | Army, Coast Guard/Marines |
| **Cayman Islands** | Royal Cayman Islands Police Force (RCIPF) |
| **Central African Republic** | Central African Armed Forces (includes Army, Air Force, Presidential Guard, National Gendarmerie, Police Force) |
| **Chad** | Armed Forces (includes Ground Force, Air Force, and Gendarmerie), Republican Guard, Rapid Intervention Force, Police, Rural and Nomadic Guard (GNNT) |
| **Chile** | Army, Navy (includes Naval Air, Coast Guard, and Marines), Air Force, Carabineros of Chile (National Police), Investigations Police |
| | *note:*  Carabineros and Investigations Police are normally administered by the Ministry of Interior, but in times of national emergency, they are considered part of the military |
| **China** | People's Liberation Army (PLA) - which includes Ground Forces, Navy (includes Marines and Naval Aviation), Air Force, Second Artillery Corps (the strategic missile force), People's Armed Police (internal security troops, nominally subordinate to Ministry of Public Security, but included by the Chinese as part of the "armed forces" and considered to be an adjunct to the PLA in wartime) |
| **Colombia** | Army (Ejercito Nacional), Navy (Armada Nacional, includes Marines and Coast Guard), Air Force (Fuerza Aerea Colombiana), National Police (Policia Nacional) |
| **Comoros** | Comoran Security Force |
| **Congo, Democratic Republic of the** | Army, Navy, Air Force, Special Presidential Security Group |
| **Congo, Republic of the** | Army, Air Force, Navy, Gendarmerie |
| **Costa Rica** | Coast Guard, Air Section, Ministry of Public Security Force (Fuerza Publica) |
| | *note:*  Costa Rica has no military, only domestic police forces, including the Coast Guard and Air Section |
| **Cote d'Ivoire** | Army, Navy, Air Force, paramilitary Gendarmerie, Republican Guard (includes Presidential Guard), Sapeur-Pompier (Military Fire Group) |
| **Croatia** | Ground Forces, Naval Forces, Air and Air Defense Forces |
| **Cuba** | Revolutionary Armed Forces (FAR) includes ground forces, Revolutionary Navy (MGR), Air and Air Defense Force (DAAFAR), Territorial Troops Militia (MTT), and Youth Labor Army (EJT); the Border Guard (TGF) is controlled by the Interior Ministry |
| **Cyprus** | *Greek Cypriot area:* Greek Cypriot National Guard (GCNG; includes air and naval elements), Hellenic Forces Contingent on Cyprus (ELDYK), Greek Cypriot Police; Turkish Cypriot area: Turkish Cypriot Security Force (TCSF), Turkish mainland army units |
| **Czech Republic** | Army, Air and Air Defense Forces, Territorial Defense, Railroad Units |
| **Denmark** | Royal Danish Army, Royal Danish Navy, Royal Danish Air Force, Home Guard |
| **Djibouti** | Djibouti National Army (includes Navy and Air Force) |
| **Dominica** | Commonwealth of Dominica Police Force (includes Special Service Unit, Coast Guard) |
