CIA - The World Factbook -- Field Listing - Military branches

| Country | Military branches |
| --- | --- |
| **Afghanistan** | Afghan National Army (includes Afghan Air Force) (2006) |
| **Albania** | General Staff Headquarters, Land Forces Command (Army), Naval Forces Command, Air Defense Command, Logistics Command, Training and Doctrine Command |
| **Algeria** | National Popular Army (ANP; includes Land Forces), Algerian National Navy (MRA), Air Force (QJJ), Territorial Air Defense Force (2005) |
| **Andorra** | no regular military forces, Police Service of Andorra |
| **Angola** | Army, Navy (Marinha de Guerra, MdG), Air and Air Defense Forces (FANA) (2006) |
| **Antigua and Barbuda** | Royal Antigua and Barbuda Defense Force (2006) |
| **Argentina** | Argentine Army, Navy of the Argentine Republic (includes naval aviation and naval infantry), Argentine Air Force (Fuerza Aerea Argentina, FAA) (2005) |
| **Armenia** | *Armed Forces:* Ground Forces, Nagorno-Karabakh Self Defense Force (NKSDF), Air Force, Air Defense Force (2006) |
| **Aruba** | no regular indigenous military forces; Royal Netherlands Navy and Marines, Coast Guard |
| **Australia** | *Australian Defense Force (ADF):* Australian Army, Royal Australian Navy, Royal Australian Air Force, Special Operations Command |
| **Austria** | Land Forces (KdoLdSK), Air Forces (KdoLuSK) |
| **Azerbaijan** | Army, Navy, Air and Air Defense Forces |
| **Bahamas, The** | *Royal Bahamian Defense Force:* Marines, Air Wing (2006) |
| **Bahrain** | *Bahrain Defense Forces (BDF):* Ground Force (includes Air Defense), Navy, Air Force, National Guard |
| **Bangladesh** | *Bangladesh Defense Force:* Bangladesh Army, Bangladesh Navy, Bangladesh Air Force (Bangladesh Biman Bahini, BAF) (2006) |
| **Barbados** | *Royal Barbados Defense Force:* Troops Command, Coast Guard (2005) |
| **Belarus** | *Belarus Armed Forces:* Land Force, Air and Air Defense Force (2006) |
| **Belgium** | *Belgian Armed Forces:* Land, Naval, and Air Operations Commands (2005) |
| **Belize** | *Belize Defense Force (BDF):* Army, Maritime Wing, Air Wing, and Volunteer Guard |
| **Benin** | Army, Navy, Air Force |
| **Bermuda** | no regular military forces |
| **Bhutan** | *Royal Bhutan Army:* Royal Bodyguard, Royal Bhutan Police (2005) |
| **Bolivia** | *Bolivian Armed Forces:* Bolivian Army (Ejercito Boliviano), Bolivian Navy (Armada Boliviana; includes marines), Bolivian Air Force (Fuerza Aerea Boliviana, FAB) (2006) |
| **Bosnia and Herzegovina** | VF Army (the air and air defense forces are subordinate commands within the Army), VRS Army (the air and air defense forces are subordinate commands within the Army) |
| **Botswana** | Botswana Defense Force (includes an air wing) (2006) |
| **Brazil** | Brazilian Army, Brazilian Navy (Marinha do Brasil (MB), includes Naval Air and Marine Corps (Corpo de Fuzileiros Navais)), Brazilian Air Force (Forca Aerea Brasileira, FAB) (2006) |
| **Brunei** | *Royal Brunei Armed Forces:* Royal Brunei Land Forces, Royal Brunei Navy, Royal Brunei Air Force (Tentera Udara Diraja Brunei) (2005) |
| **Bulgaria** | *Bulgarian Armed Forces:* Ground Forces, Naval Forces, Bulgarian Air Force (2006) |
| **Burkina Faso** | Army, Air Force of Burkina Faso (Force Aerienne de Burkina Faso), National Gendarmerie (2006) |
| **Burma** | *Myanmar Armed Forces (Tatmadaw):* Army, Navy, Air Force (2005) |
| **Burundi** | *National Defense Force (Forces de Defense Nationales, FDN):* Army (includes Naval Detachment and Air Wing), National Gendarmerie (being disbanded) (2006) |
| **Cambodia** | *Royal Cambodian Armed Forces:* Royal Cambodian Army, Royal Khmer Navy, Royal Cambodian Air Force (2005) |
| **Cameroon** | *Cameroon Armed Forces:* Army, Navy (includes naval infantry), Air Force (Armee de l'Air du Cameroun, AAC) (2006) |
| **Canada** | *Canadian Forces:* Land Forces Command, Maritime Command, Air Command, Canada Command (homeland security) (2006) |
| **Cape Verde** | *People's Revolutionary Armed Forces (FARP):* Army, Coast Guard (includes maritime air wing) |
| **Cayman Islands** | no regular military forces; Royal Cayman Islands Police Force |
| **Central African Republic** | *Central African Armed Forces (FACA):* Ground Forces, Military Air Service; General Directorate of Gendarmerie Inspection (DGIG), Republican Guard, National Police (2006) |
| **Chad** | Chadian National Army (Armee Nationale Tchadienne, ANT), Air Force, Gendarmerie (2004) |
| **Chile** | Army of the Nation, National Navy (Armada de Chile, includes naval air, marine corps, and Maritime Territory and Merchant Marine Directorate (Directemar)), Chilean Air Force (Fuerza Aerea de Chile, FACh), Chilean Carabineros (National Police) (2006) |
| **China** | *People's Liberation Army (PLA):* Ground Forces, Navy (includes marines and naval aviation), Air Force (includes airborne forces), and II Artillery Corps (strategic missile force); People's Armed Police (PAP); Reserve and Militia Forces (2006) |
| **Colombia** | Army (Ejercito Nacional), National Navy (Armada Nacional, includes naval aviation, marines, and coast guard), Air Force (Fuerza Aerea Colombiana) (2006) |
| **Comoros** | *Comoran Defense Force:* Comoran Security Force (includes Gendarmerie and Army), Comoran Federal Police (2006) |
| **Congo, Democratic Republic of the** | Army, Navy, Air Force |
| **Congo, Republic of the** | *Congolese Armed Forces (FAC):* Army, Congolese Air Force (Armee de l'Air Congolaise), Navy, Gendarmerie, Republican Guard (2005) |
| **Cook Islands** | no regular military forces; Ministry of Police and Disaster Management (2005) |
| **Costa Rica** | no regular military forces; Ministry of Public Security, Government, and Police (2006) |
| **Cote d'Ivoire** | *Cote d'Ivoire Defense and Security Forces (FDSC):* Army, Navy, Air Force (2006) |
| **Croatia** | Ground Forces (Hrvatska Kopnena Vojska, HKoV), Naval Forces (Hrvatska Ratna Mornarica, HRM), Air and Air Defense Forces (Hrvatsko Ratno Zrakoplovstvo i Protuzrakoplovna Obrana, HRZiPZO), Joint Education and Training Command, Logistics Command; Military Police Force supports each of the three Croatian military forces (2006) |
| **Cuba** | *Revolutionary Armed Forces (FAR):* Revolutionary Army (ER), Revolutionary Navy (Marina de Guerra Revolucionaria, MGR), Revolutionary Air and Air Defense Force (DAAFAR), Youth Labor Army (EJT) (2005) |
| **Cyprus** | *Republic of Cyprus:* Greek Cypriot National Guard (GCNG; includes air and naval elements); north Cyprus: Turkish Cypriot Security Force (GKK) |
| **Czech Republic** | *Army of the Czech Republic (ACR):* Joint Forces Command (includes air forces), Support and Training Forces Command (2006) |
| **Denmark** | *Defense Command:* Army Operational Command, Admiral Danish Fleet, Tactical Air Command (2006) |
| **Djibouti** | Djibouti National Army (includes Navy and Air Force) |
| **Dominica** | no regular military forces; Commonwealth of Dominica Police Force (includes coast guard) |
| **Dominican Republic** | Army, Navy, Air Force |
| **East Timor** | *East Timor Defense Force (Forcas de Defesa de Timor-L'este, FDTL):* Army, Navy (Armada) (2005) |
| **Ecuador** | Army, Navy (includes naval infantry, naval aviation, coast guard), Air Force (Fuerza Aerea Ecuatoriana, FAE) |
| **Egypt** | Army, Navy, Air Force, Air Defense Command |
| **El Salvador** | Salvadoran Army (ES), Salvadoran Navy (FNES), Salvadoran Air Force (Fuerza Aerea Salvadorena, FAS) (2006) |
| **Equatorial Guinea** | Army, Navy, Air Force (2005) |
| **Eritrea** | Army, Navy, Air Force |
| **Estonia** | *Estonian Defense Forces:* Land Force, Navy, Air Force, Volunteer Defense League (Kaitseliit, KL) (2006) |
| **Ethiopia** | *Ethiopian National Defense Force (ENDF):* Ground Forces, Ethiopian Air Force |
| | *note:* Ethiopia is landlocked and has no navy; following the secession of Eritrea, Ethiopian naval facilities remained in Eritrean possession |
| **Falkland Islands (Islas Malvinas)** | no regular military forces |
| **Faroe Islands** | no regular military forces |
| **Fiji** | *Republic of Fiji Military Forces (RFMF):* Land Forces, Naval Forces (2006) |
| **Finland** | *Finnish Defense Forces:* Army, Navy (includes coastal defense forces), Air Force (2003) |
| **France** | Army (includes marines, Foreign Legion, light aviation), Navy (includes naval air), Air Force (includes air defense), National Gendarmerie |
| **French Guiana** | no regular military forces; Gendarmerie |
| **French Polynesia** | no regular military forces; Gendarmerie and National Police Force |
| **Gabon** | Army, Navy, Air Force, National Gendarmerie, National Police |
| **Gambia, The** | Gambian National Army (GNA), Gambian Navy (GN), Presidential Guard, National Guard |
| **Gaza Strip** | in accordance with the peace agreement, the Palestinian Authority is not permitted conventional military forces; there are, however, public security forces (2002) |
| **Georgia** | Ground Forces (includes National Guard), Air and Air Defense Forces, Navy (2006) |
| **Germany** | *Federal Armed Forces (Bundeswehr):* Army (Heer), Navy (Deutsche Marine, includes naval air arm), Air Force (Luftwaffe), Joint Service Support Command (Streitkraeftebasis), Central Medical Service (Zentraler Sanitaetsdienst) (2006) |
| **Ghana** | Ghanaian Army, Ghanaian Navy, Ghanaian Air Force (2006) |
| **Gibraltar** | Royal Gibraltar Regiment |
| **Greece** | Hellenic Army (Ellinikos Stratos, ES), Hellenic Navy (Ellinikos Polemiko Navtiko, EPN), Hellenic Air Force (Elliniki Polimiki Aeroporia, EPA) (2006) |
| **Grenada** | no regular military forces; Royal Grenada Police Force |
| **Guadeloupe** | no regular military forces |
| **Guatemala** | Army, Navy (includes marines), Air Force |
| **Guinea** | Army, Navy, Air Force, Presidential Guard (2006) |
| **Guinea-Bissau** | People's Revolutionary Armed Force (FARP; includes Army, Navy, and Air Force), paramilitary force |
| **Guyana** | *Guyana Defense Force:* Ground Forces, Coast Guard, Air Corps (2006) |
| **Haiti** | the regular Haitian Armed Forces (FAdH) - Army, Navy, and Air Force - have been demobilized but still exist on paper unless they are constitutionally abolished |
| **Holy See (Vatican City)** | Pontifical Swiss Guard (Corpo della Guardia Svizzera Pontificia) |
| **Honduras** | Army, Navy (includes naval infantry), Honduran Air Force (Fuerza Aerea Hondurena, FAH) (2006) |
| **Hong Kong** | no regular indigenous military forces; Hong Kong garrison of China's People's Liberation Army (PLA) includes elements of the PLA Ground Forces, PLA Navy, and PLA Air Force; these forces are under the direct leadership of the Central Military Commission in Beijing and under administrative control of the adjacent Guangzhou Military Region |
| **Hungary** | Ground Forces, Air Forces |
| **Iceland** | no regular armed forces; Icelandic National Police, Icelandic Coast Guard (Islenska Landhelgisgaeslan) subordinate to Ministry of Justice, Icelandic Crisis Response Unit (2006) |
| **India** | Army, Navy (includes naval air arm), Air Force, Coast Guard, various security or paramilitary forces (includes Border Security Force, Assam Rifles, National Security Guards, Indo-Tibetan Border Police, Special Frontier Force, Central Reserve Police Force, Central Industrial Security Force, Railway Protection Force, and Defense Security Corps) |
| **Indonesia** | *Indonesia Armed Forces (Tentara Nasional Indonesia, TNI):* Army (TNI-AD), Navy (TNI-AL, includes marines, naval air arm), Air Force (TNI-AU) |
| | *note:* the TNI is directly subordinate to the president but the government is making efforts to incorporate it into the Department of Defense |
| **Iran** | Islamic Republic of Iran Regular Forces (Artesh): Ground Forces, Navy, Air Force (Niruye Havayi Jomhuriye Islamiye Iran; includes air defense); Islamic Revolutionary Guard Corps (Sepah-e Pasdaran-e Enqelab-e Eslami, IRGC): Ground Forces, Navy, Air Force, Qods Force (special operations), and Basij Force (Popular Mobilization Army); Law Enforcement Forces (2006) |
| **Iraq** | *Iraqi Armed Forces:* Iraqi Regular Army (includes Iraqi Special Operations Force, Iraqi Intervention Force), Iraqi Navy (former Iraqi Coastal Defense Force), Iraqi Air Force (former Iraqi Army Air Corps) (2005) |
