CIA - The World Factbook -- Field Listing :: Military branches   

This entry lists the service branches subordinate to defense ministries or the equivalent (typically ground, naval, air, and marine forces).

| Country | Military branches |
| --- | --- |
| **Afghanistan** | *Afghan Armed Forces:* Afghan National Army (ANA, includes Afghan National Army Air Corps) (2009) |
| **Albania** | Joint Force Command (includes Land, Naval, and Aviation Brigade Commands), Joint Support Command (includes Logistic Command), Training and Doctrine Command (2009) |
| **Algeria** | People's National Army (Armee Nationale Populaire, ANP), Land Forces (Forces Terrestres, FT), Navy of the Republic of Algeria (Marine de la Republique Algerienne, MRA), Air Force (Al-Quwwat al-Jawwiya al-Jaza'eriya, QJJ), Territorial Air Defense Force (2009) |
| **Andorra** | no regular military forces, Police Service of Andorra (2008) |
| **Angola** | *Angolan Armed Forces (FAA):* Army, Navy (Marinha de Guerra Angola, MGA), Angolan National Air Force (Forca Aerea Nacional Angolana, FANA) (2009) |
| **Antigua and Barbuda** | Royal Antigua and Barbuda Defense Force (2009) |
| **Argentina** | Argentine Army (Ejercito Argentino), Navy of the Argentine Republic (Armada Republica; includes naval aviation and naval infantry), Argentine Air Force (Fuerza Aerea Argentina, FAA) (2009) |
| **Armenia** | *Armed Forces:* Ground Forces, Air Force and Air Defense, Nagorno-Karabakh Self Defense Force (NKSDF) (2009) |
| **Aruba** | no regular military forces; the Netherlands maintains a detachment of marines, a frigate, and an amphibious combat detachment in the neighboring Netherlands Antilles (2009) |
| **Australia** | *Australian Defense Force (ADF):* Australian Army, Royal Australian Navy, Royal Australian Air Force, Special Operations Command (2006) |
| **Austria** | Land Forces (KdoLdSK), Air Forces (KdoLuSK) |
| **Azerbaijan** | Army, Navy, Air and Air Defense Forces (2008) |
| **Bahamas, The** | *Royal Bahamian Defense Force:* Land Force, Navy, Air Wing (2009) |
| **Bahrain** | *Bahrain Defense Forces (BDF):* Ground Force (includes Air Defense), Naval Force, Air Force, National Guard |
| **Bangladesh** | *Bangladesh Defense Force:* Bangladesh Army (Sena Bahini), Bangladesh Navy (Noh Bahini, BN), Bangladesh Air Force (Biman Bahini, BAF) (2009) |
| **Barbados** | *Royal Barbados Defense Force:* Troops Command, Barbados Coast Guard (2009) |
| **Belarus** | *Belarus Armed Forces:* Land Force, Air and Air Defense Force (2009) |
| **Belgium** | *Belgian Armed Forces:* Land Operations Command, Naval Operations Command, Air Operations Command (2009) |
| **Belize** | *Belize Defense Force (BDF):* Army, BDF Air Wing, BDF Volunteer Guard (2009) |
| **Benin** | *Benin Armed Forces (FAB):* Army (l'Arme de Terre), Benin Navy (Forces Navales Beninois, FNB), Benin People's Air Force (Force Aerienne Populaire de Benin, FAPB) (2008) |
| **Bermuda** | Bermuda Regiment (2008) |
| **Bhutan** | Royal Bhutan Army (includes Royal Bodyguard and Royal Bhutan Police) (2009) |
| **Bolivia** | *Bolivian Armed Forces:* Bolivian Army (Ejercito Boliviano, EB), Bolivian Navy (Fuerza Naval Boliviana, FNB; includes marines), Bolivian Air Force (Fuerza Aerea Boliviana, FAB) (2009) |
| **Bosnia and Herzegovina** | *Bosnia and Herzegovina Armed Forces (OSBiH):* Army of Bosnia and Herzegovina, Air and Air Defense Forces of Bosnia and Herzegovina (Zrakoplovstvo i Protuzracna Obrana, ZPO) (2009) |
| **Botswana** | *Botswana Defense Force:* Ground Forces (includes Air Arm) (2009) |
| **Brazil** | Brazilian Army (Exercito Brasileiro, EB), Brazilian Navy (Marinha do Brasil (MB), includes Naval Air and Marine Corps (Corpo de Fuzileiros Navais)), Brazilian Air Force (Forca Aerea Brasileira, FAB) (2009) |
| **British Indian Ocean Territory** | no regular military forces; Royal Overseas Police Officers (ROPOs) (2008) |
| **Brunei** | *Royal Brunei Armed Forces (RBAF):* Royal Brunei Land Forces, Royal Brunei Navy, Royal Brunei Air Force (Tentera Udara Diraja Brunei) (2009) |
| **Bulgaria** | *Bulgarian Armed Forces:* Ground Forces, Naval Forces, Bulgarian Air Forces (Bulgarski Voennovazdyshni Sily, BVVS) (2009) |
| **Burkina Faso** | Army, Air Force of Burkina Faso (Force Aerienne de Burkina Faso, FABF), National Gendarmerie (2009) |
| **Burma** | *Myanmar Armed Forces (Tatmadaw):* Army, Navy, Air Force (Tatmadaw Lay) (2008) |
| **Burundi** | *National Defense Force (Forces de Defense Nationale, FDN):* Army (includes naval detachment and Air Wing), Gendarmerie (2009) |
| **Cambodia** | *Royal Cambodian Armed Forces:* Royal Cambodian Army, Royal Khmer Navy, Royal Cambodian Air Force (2009) |
| **Cameroon** | *Cameroon Armed Forces (Forces Armees Camerounaises, FAC):* Army (L'Armee de Terre), Navy (includes naval infantry), Air Force (Armee de l'Air du Cameroun, AAC) (2009) |
| **Canada** | *Canadian Forces:* Land Forces Command (LFC), Maritime Command (MARCOM), Air Command (AIRCOM), Canada Command (homeland security) (2009) |
| **Cape Verde** | *People's Revolutionary Armed Forces (FARP):* Army, Coast Guard (includes maritime air wing) (2007) |
| **Cayman Islands** | no regular military forces; Royal Cayman Islands Police Force (2008) |
| **Central African Republic** | *Central African Armed Forces (Forces Armees Centrafricaines, FACA):* Ground Forces, General Directorate of Gendarmerie Inspection (DGIG), Military Air Service, National Police (2008) |
| **Chad** | *Armed Forces:* Chadian National Army (Armee Nationale du Tchad, ANT), Chadian Air Force (Force Aerienne Tchadienne, FAT), Gendarmerie (2008) |
| **Chile** | Army of the Nation, Chilean Navy (Armada de Chile, includes naval air, marine corps, and Maritime Territory and Merchant Marine Directorate (Directemar)), Chilean Air Force (Fuerza Aerea de Chile, FACh), Carabineros Corps (Cuerpo de Carabineros) (2008) |
| **China** | *People's Liberation Army (PLA):* Ground Forces, Navy (includes marines and naval aviation), Air Force (includes airborne forces), and Second Artillery Corps (strategic missile force); People's Armed Police (PAP); PLA Reserve Force (2009) |
| **Colombia** | National Army (Ejercito Nacional), National Navy (Armada Nacional, includes Naval Aviation, Naval Infantry (Infanteria de Marina, IM), and Coast Guard), Colombian Air Force (Fuerza Aerea de Colombia, FAC) (2008) |
| **Comoros** | *National Development Army (AND):* Comoran Security Force; Comoran Federal Police (2008) |
| **Congo, Democratic Republic of the** | *Armed Forces of the Democratic Republic of the Congo (Forces d'Armees de la Republique Democratique du Congo, FARDC):* Army, National Navy (La Marine Nationale), Congolese Air Force (Force Aerienne Congolaise, FAC) (2009) |
| **Congo, Republic of the** | *Congolese Armed Forces (Forces Armees Congolaises, FAC):* Army (Armee de Terre), Navy, Congolese Air Force (Armee de l'Air Congolaise), Gendarmerie, Special Presidential Security Guard (GSSP) (2009) |
| **Cook Islands** | no regular military forces; National Police Department (2009) |
| **Costa Rica** | no regular military forces; Ministry of Public Security, Government, and Police (2009) |
| **Cote d'Ivoire** | *Cote d'Ivoire Defense and Security Forces (FDSCI):* Army, Navy, Air Force (2006) |
| **Croatia** | *Armed Forces of the Republic of Croatia (Oruzane Snage Republike Hrvatske, OSRH), consists of five major commands directly subordinate to a General Staff:* Ground Forces (Hrvatska Kopnena Vojska, HKoV), Naval Forces (Hrvatska Ratna Mornarica, HRM; includes coast guard), Air Force and Air Defense Command, Joint Education and Training Command, Logistics Command; Military Police Force supports each of the three Croatian military forces (2009) |
| **Cuba** | *Revolutionary Armed Forces (Fuerzas Armadas Revolucionarias, FAR):* Revolutionary Army (ER; includes Territorial Militia Troops (Milicia de Tropas de Territoriales, MTT)), Revolutionary Navy (Marina de Guerra Revolucionaria, MGR; includes Marine Corps), Revolutionary Air and Air Defense Force (DAAFAR), Youth Labor Army (Ejercito Juvenil del Trabajo, EJT) (2009) |
| **Cyprus** | *Republic of Cyprus:* Greek Cypriot National Guard (Ethniki Forea, EF; includes naval and air elements); northern Cyprus: Turkish Cypriot Security Force (GKK) (2009) |
| **Czech Republic** | *Army of the Czech Republic (ACR):* Joint Forces Command (includes Land Forces and Air Forces), Support and Training Forces Command (2009) |
| **Denmark** | *Defense Command:* Army Operational Command, Admiral Danish Fleet, Island Command Greenland, Tactical Air Command, Home Guard (2008) |
| **Djibouti** | Djibouti National Army (includes Navy and Air Force) |
| **Dominica** | no regular military forces; Commonwealth of Dominica Police Force (includes Coast Guard) (2008) |
| **Dominican Republic** | Army, Navy, Air Force (Fuerza Aerea Dominicana, FAD) (2009) |
